customer_id,rfm_recency_all_time,rfm_frequency_all_time,rfm_monetary_all_time,tenure_all_time,rfm_recency_30d,rfm_frequency_30d,rfm_monetary_30d,tenure_30d,rfm_recency_60d,rfm_frequency_60d,rfm_monetary_60d,tenure_60d,rfm_recency_90d,rfm_frequency_90d,rfm_monetary_90d,tenure_90d,slope_amount,slope_days_since_previous_transaction,slope_days_until_next_transaction,slope_customer_transaction_order,slope_days_since_first_transaction,min_amount,mean_amount,mode_amount,max_amount,q1_amount,q5_amount,q10_amount,q20_amount,q30_amount,q40_amount,q50_amount,q60_amount,q70_amount,q80_amount,q90_amount,q95_amount,q99_amount,min_days_since_previous_transaction,mean_days_since_previous_transaction,mode_days_since_previous_transaction,max_days_since_previous_transaction,q1_days_since_previous_transaction,q5_days_since_previous_transaction,q10_days_since_previous_transaction,q20_days_since_previous_transaction,q30_days_since_previous_transaction,q40_days_since_previous_transaction,q50_days_since_previous_transaction,q60_days_since_previous_transaction,q70_days_since_previous_transaction,q80_days_since_previous_transaction,q90_days_since_previous_transaction,q95_days_since_previous_transaction,q99_days_since_previous_transaction,min_days_until_next_transaction,mean_days_until_next_transaction,mode_days_until_next_transaction,max_days_until_next_transaction,q1_days_until_next_transaction,q5_days_until_next_transaction,q10_days_until_next_transaction,q20_days_until_next_transaction,q30_days_until_next_transaction,q40_days_until_next_transaction,q50_days_until_next_transaction,q60_days_until_next_transaction,q70_days_until_next_transaction,q80_days_until_next_transaction,q90_days_until_next_transaction,q95_days_until_next_transaction,q99_days_until_next_transaction,min_customer_transaction_order,mean_customer_transaction_order,mode_customer_transaction_order,max_customer_transaction_order,q1_customer_transaction_order,q5_customer_transaction_order,q10_customer_transaction_order,q20_customer_transaction_order,q30_customer_transaction_order,q40_customer_transaction_order,q50_customer_transaction_order,q60_customer_transaction_order,q70_customer_transaction_order,q80_customer_transaction_order,q90_customer_transaction_order,q95_customer_transaction_order,q99_customer_transaction_order,min_days_since_first_transaction,mean_days_since_first_transaction,mode_days_since_first_transaction,max_days_since_first_transaction,q1_days_since_first_transaction,q5_days_since_first_transaction,q10_days_since_first_transaction,q20_days_since_first_transaction,q30_days_since_first_transaction,q40_days_since_first_transaction,q50_days_since_first_transaction,q60_days_since_first_transaction,q70_days_since_first_transaction,q80_days_since_first_transaction,q90_days_since_first_transaction,q95_days_since_first_transaction,q99_days_since_first_transaction
C01552,78,19,954.82,98,78.0,19.0,954.82,98.0,78.0,19.0,954.82,98.0,90.0,17.0,869.02,86.0,-0.15730392156862538,0.0029411764705881043,0.11274509803921569,0.9999999999999998,5.267156862745097,10.51,51.11882352941176,10.51,135.23,11.2572,14.246,20.418,27.244000000000003,31.348,34.092,42.14,47.966,64.11399999999999,73.498,90.296,105.42199999999997,129.26839999999999,0.0,5.375,3.0,12.0,0.15,0.75,1.0,2.0,2.5,3.0,3.5,5.0,8.5,10.0,11.5,12.0,12.0,0.0,5.705882352941177,3.0,12.0,0.16,0.8,1.0,2.0,2.8,3.0,4.0,6.199999999999999,10.0,10.8,11.4,12.0,12.0,0.0,8.0,0.0,16.0,0.16,0.8,1.6,3.2,4.8,6.4,8.0,9.6,11.2,12.8,14.4,15.2,15.84,0.0,42.94117647058823,73.0,86.0,1.76,8.8,11.6,14.600000000000001,21.0,35.2,44.0,55.2,60.599999999999994,71.0,73.4,76.39999999999999,84.08
C02842,66,6,76.32,72,66.0,6.0,76.32,72.0,66.0,6.0,76.32,72.0,100.0,4.0,62.67999999999999,38.0,-0.27200000000000196,0.49999999999999994,3.0000000000000004,1.0,14.1,1.63,15.67,1.63,34.04,1.8106,2.5330000000000004,3.4360000000000004,5.242000000000001,7.048,9.992000000000003,13.504999999999999,17.017999999999997,20.827999999999996,25.232000000000006,29.636000000000003,31.837999999999994,33.599599999999995,5.0,12.666666666666666,5.0,27.0,5.02,5.1,5.2,5.4,5.6,5.8,6.0,10.2,14.399999999999999,18.6,22.8,24.9,26.58,5.0,15.0,5.0,27.0,5.03,5.15,5.3,5.6,5.9,9.200000000000003,14.0,18.799999999999997,22.5,24.0,25.5,26.25,26.849999999999998,0.0,1.5,0.0,3.0,0.03,0.15000000000000002,0.30000000000000004,0.6000000000000001,0.8999999999999999,1.2000000000000002,1.5,1.7999999999999998,2.0999999999999996,2.4000000000000004,2.7,2.8499999999999996,2.9699999999999998,0.0,18.75,0.0,38.0,0.15,0.7500000000000001,1.5000000000000002,3.0000000000000004,4.5,10.400000000000006,18.5,26.599999999999994,32.599999999999994,34.400000000000006,36.2,37.099999999999994,37.82
C01642,1,1,29.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00191,110,1,49.75,0,110.0,1.0,49.75,0.0,110.0,1.0,49.75,0.0,110.0,1.0,49.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02329,19,10,990.12,198,59.0,9.0,916.03,158.0,73.0,8.0,822.0699999999999,144.0,95.0,6.0,461.79999999999995,122.0,10.503999999999994,-14.7,-9.314285714285713,0.9999999999999998,22.371428571428563,16.92,76.96666666666665,16.92,144.89,19.629,30.465,44.01,71.1,72.705,74.31,75.745,77.18,77.29,77.4,111.145,128.01749999999998,141.5155,1.0,24.4,1.0,75.0,1.16,1.8,2.6,4.2,5.2,5.6,6.0,17.599999999999998,29.199999999999996,43.00000000000001,59.0,67.0,73.4,1.0,23.333333333333332,1.0,75.0,1.2,2.0,3.0,5.0,5.5,6.0,12.0,18.0,26.5,35.0,55.0,65.0,73.0,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,85.5,0.0,122.0,3.75,18.75,37.5,75.0,77.5,80.0,97.5,115.0,118.0,121.0,121.5,121.75,121.95
C00002,6,11,910.64,37,32.0,6.0,620.8,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02208,4,5,467.65,36,40.0,1.0,112.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00749,14,14,255.31,136,33.0,10.0,186.66,117.0,62.0,9.0,157.61,88.0,104.0,6.0,131.91,46.0,5.849999999999998,-0.4000000000000008,1.4571428571428569,0.9999999999999998,9.942857142857141,4.2,21.985,4.2,41.71,4.6225000000000005,6.3125,8.425,12.65,15.43,18.21,22.58,26.95,27.57,28.19,34.95,38.33,41.034000000000006,2.0,9.2,7.0,22.0,2.2,3.0,4.0,6.0,7.0,7.0,7.0,7.4,7.8,10.800000000000002,16.400000000000002,19.199999999999996,21.439999999999998,2.0,11.166666666666666,7.0,22.0,2.25,3.25,4.5,7.0,7.0,7.0,7.5,8.0,14.5,21.0,21.5,21.75,21.95,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,23.666666666666668,0.0,46.0,0.1,0.5,1.0,2.0,13.0,24.0,27.5,31.0,35.0,39.0,42.5,44.25,45.65
C01922,12,9,1611.12,56,30.0,7.0,1439.84,38.0,68.0,1.0,169.82,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00444,3,20,1164.67,223,37.0,19.0,1115.75,189.0,92.0,17.0,975.89,134.0,92.0,17.0,975.89,134.0,-1.0211764705882351,-0.14411764705882382,0.6176470588235294,0.9999999999999998,8.142156862745097,3.91,57.40529411764705,3.91,126.15,4.15,5.11,9.31,18.752000000000002,36.44,47.96,50.48,62.925999999999995,86.068,94.804,103.296,108.31799999999998,122.5836,0.0,8.375,4.0,26.0,0.15,0.75,1.5,4.0,4.0,6.0,7.5,9.0,10.5,11.0,15.5,18.5,24.499999999999996,0.0,10.588235294117647,4.0,46.0,0.16,0.8,1.6,4.0,4.0,6.4,8.0,9.6,11.0,14.200000000000003,20.000000000000004,29.999999999999986,42.8,0.0,8.0,0.0,16.0,0.16,0.8,1.6,3.2,4.8,6.4,8.0,9.6,11.2,12.8,14.4,15.2,15.84,0.0,69.88235294117646,86.0,134.0,0.64,3.2,4.6,33.2,49.199999999999996,65.2,86.0,87.2,93.19999999999999,103.60000000000001,116.6,121.99999999999999,131.6
C01302,133,6,469.39000000000004,14,133.0,6.0,469.39000000000004,14.0,133.0,6.0,469.39000000000004,14.0,133.0,6.0,469.39000000000004,14.0,-16.137428571428575,-0.09999999999999988,-0.10000000000000017,0.9999999999999998,2.8285714285714283,14.73,78.23166666666667,14.73,269.98,15.0435,16.2975,17.865000000000002,21.0,22.93,24.86,40.53,56.2,69.41,82.62,176.3,223.14000000000001,260.6120000000001,0.0,2.8,0.0,5.0,0.08,0.4,0.8,1.6,2.2,2.6,3.0,3.4,3.8,4.2,4.6,4.8,4.96,0.0,2.8,0.0,5.0,0.08,0.4,0.8,1.6,2.2,2.6,3.0,3.4,3.8,4.2,4.6,4.8,4.96,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,7.166666666666667,4.0,14.0,0.2,1.0,2.0,4.0,4.0,4.0,6.5,9.0,10.5,12.0,13.0,13.5,13.9
C00348,16,23,783.94,92,33.0,20.0,711.11,75.0,63.0,10.0,363.06,45.0,90.0,6.0,216.0,18.0,-0.4405714285714278,0.2999999999999999,-0.20000000000000015,0.9999999999999998,3.97142857142857,16.53,36.0,16.53,63.34,16.884500000000003,18.302500000000002,20.075000000000003,23.62,28.08,32.54,35.26,37.98,39.985,41.99,52.665000000000006,58.002500000000005,62.27250000000001,0.0,3.6,0.0,8.0,0.04,0.2,0.4,0.8,1.2,1.6,2.0,3.9999999999999996,5.999999999999999,7.2,7.6,7.8,7.96,0.0,3.1666666666666665,1.0,8.0,0.05,0.25,0.5,1.0,1.0,1.0,1.5,2.0,4.5,7.0,7.5,7.75,7.95,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,8.5,0.0,18.0,0.0,0.0,0.0,0.0,4.0,8.0,8.5,9.0,12.5,16.0,17.0,17.5,17.9
C00491,46,10,641.41,106,46.0,10.0,641.41,106.0,71.0,8.0,499.56,81.0,98.0,6.0,326.66,54.0,-6.481714285714283,3.9999999999999996,3.742857142857142,0.9999999999999998,10.971428571428568,11.01,54.44333333333333,11.01,136.09,11.939,15.655,20.3,29.59,32.635,35.68,38.385000000000005,41.09,57.145,73.2,104.64500000000001,120.3675,132.9455,2.0,10.8,2.0,17.0,2.08,2.4,2.8,3.6,6.199999999999999,10.600000000000001,15.0,15.4,15.8,16.2,16.6,16.8,16.96,2.0,12.5,2.0,21.0,2.1,2.5,3.0,4.0,9.5,15.0,15.5,16.0,16.5,17.0,19.0,20.0,20.8,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,20.333333333333332,0.0,54.0,0.2,1.0,2.0,4.0,5.0,6.0,13.5,21.0,29.0,37.0,45.5,49.75,53.150000000000006
C01822,223,6,587.6800000000001,21,223.0,6.0,587.6800000000001,21.0,223.0,6.0,587.6800000000001,21.0,223.0,6.0,587.6800000000001,21.0,-0.056571428571428474,-0.7000000000000001,-0.7000000000000007,0.9999999999999998,4.228571428571428,47.5,97.94666666666667,47.5,141.59,48.4615,52.307500000000005,57.115,66.73,67.225,67.72,97.575,127.43,132.07,136.71,139.15,140.37,141.346,1.0,4.2,4.0,8.0,1.12,1.6,2.2,3.4000000000000004,4.0,4.0,4.0,4.0,4.0,4.800000000000001,6.4,7.199999999999999,7.84,1.0,4.2,4.0,8.0,1.12,1.6,2.2,3.4000000000000004,4.0,4.0,4.0,4.0,4.0,4.800000000000001,6.4,7.199999999999999,7.84,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,11.666666666666666,0.0,21.0,0.2,1.0,2.0,4.0,8.0,12.0,14.0,16.0,16.5,17.0,19.0,20.0,20.8
C02279,16,3,98.14000000000001,56,48.0,2.0,31.490000000000002,24.0,72.0,1.0,2.89,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
