,customer_id,is_churn_1_days
0,C02761,0
1,C00123,0
2,C01808,0
3,C02286,1
4,C02147,1
5,C00618,0
6,C00406,1
7,C01157,1
8,C01068,0
9,C01133,1
10,C02905,1
11,C00497,0
12,C01061,1
13,C00325,0
14,C00342,0
15,C02356,1
16,C02266,0
17,C00782,0
18,C02367,1
19,C00299,0
20,C01461,1
21,C02373,1
22,C00303,0
23,C01237,0
24,C02571,1
25,C01656,1
26,C00664,1
27,C01690,1
28,C00220,1
29,C01626,0
30,C01188,1
31,C01455,1
32,C00449,0
33,C02002,1
34,C02616,0
35,C00084,1
36,C00941,1
37,C00961,0
38,C00841,1
39,C01326,0
40,C02378,1
41,C02430,0
42,C01373,0
43,C00290,1
44,C01867,1
45,C01554,1
46,C00604,0
47,C02032,0
48,C00916,1
49,C02632,0
50,C02337,1
51,C02098,1
52,C02437,0
53,C00821,1
54,C02469,0
55,C01000,1
56,C01703,0
57,C00018,1
58,C01777,1
59,C01208,1
60,C02560,1
61,C01936,0
62,C01718,0
63,C01427,1
64,C02241,1
65,C02310,0
66,C01357,1
67,C02057,1
68,C00360,1
69,C02270,0
70,C02084,1
71,C01564,0
72,C00344,0
73,C00986,0
74,C01260,0
75,C01713,1
76,C01720,0
77,C02646,1
78,C02886,1
79,C01575,0
80,C00085,1
81,C02063,1
82,C00668,1
83,C01014,1
84,C00128,1
85,C01873,1
86,C01146,1
87,C00891,1
88,C02471,0
89,C00307,0
90,C00383,1
91,C01833,1
92,C01127,1
93,C00426,1
94,C00494,1
95,C01565,1
96,C02791,1
97,C02611,1
98,C01251,1
99,C01295,0
100,C00275,1
101,C00489,0
102,C01957,0
103,C00690,1
104,C02051,1
105,C02238,1
106,C01242,0
107,C02673,0
108,C02079,1
109,C01058,1
110,C00118,1
111,C01995,0
112,C02285,1
113,C00281,1
114,C02807,1
115,C02335,0
116,C02762,0
117,C02945,1
118,C01179,0
119,C01602,0
120,C02116,0
121,C00304,0
122,C01844,0
123,C01356,1
124,C02436,0
125,C00575,0
126,C01871,1
127,C02845,1
128,C02623,0
129,C01417,1
130,C01795,0
131,C00843,0
132,C02812,1
133,C00269,0
134,C00629,1
135,C01033,1
136,C00286,1
137,C02211,0
138,C00300,0
139,C01510,1
140,C01811,1
141,C00065,1
142,C02397,1
143,C00890,0
144,C01767,1
145,C01731,1
146,C01376,1
147,C00230,1
148,C00503,0
149,C02459,1
150,C01350,1
151,C01444,1
152,C02551,1
153,C01004,1
154,C00836,1
155,C01588,1
156,C00374,1
157,C01352,1
158,C02110,0
159,C01786,1
160,C01803,0
161,C02071,0
162,C00751,1
163,C00099,1
164,C01723,0
165,C00866,0
166,C00910,1
167,C02009,1
168,C00529,0
169,C00636,0
170,C00185,0
171,C01187,0
172,C01971,1
173,C00931,1
174,C01381,1
175,C02295,0
176,C02382,0
177,C02401,1
178,C01999,1
179,C00607,1
180,C02896,1
181,C00151,1
182,C01283,1
183,C02262,1
184,C00731,1
185,C01337,1
186,C01598,1
187,C02840,1
188,C00023,1
189,C02857,0
190,C00158,0
191,C00861,1
192,C00902,1
193,C02655,0
194,C02937,1
195,C00444,1
196,C02938,0
197,C00754,0
198,C00923,1
199,C02970,0
200,C02102,1
201,C00311,1
202,C00548,1
203,C01945,1
204,C01456,1
205,C00306,1
206,C00287,1
207,C00694,1
208,C00308,1
209,C02320,0
210,C00749,1
211,C02815,0
212,C01239,0
213,C00908,1
214,C01880,0
215,C02380,1
216,C01406,1
217,C02494,0
218,C00970,1
219,C00013,0
220,C00873,1
221,C00808,1
222,C02578,1
223,C00514,1
224,C02413,0
225,C00409,0
226,C02833,1
227,C02259,1
228,C02823,1
229,C01225,1
230,C01655,1
231,C01610,1
232,C00382,0
233,C02106,1
234,C02187,1
235,C01621,0
236,C02831,1
237,C00552,1
238,C00222,0
239,C01096,1
240,C02754,0
241,C00008,1
242,C01476,0
243,C00316,1
244,C00427,0
245,C01985,1
246,C00105,1
247,C02015,1
248,C00142,1
249,C00121,0
250,C02371,0
251,C02865,1
252,C01189,0
253,C02961,1
254,C02600,0
255,C01657,0
256,C00115,0
257,C01405,1
258,C01511,1
259,C02492,0
260,C02797,0
261,C02948,0
262,C01596,0
263,C02889,0
264,C00672,0
265,C01431,1
266,C02172,0
267,C00591,1
268,C01402,1
269,C00888,0
270,C01754,0
271,C01366,0
272,C02396,1
273,C00213,1
274,C02007,0
275,C02148,1
276,C00800,1
277,C02480,0
278,C02439,1
279,C02283,1
280,C02662,0
281,C02711,0
282,C00273,1
283,C00071,1
284,C01789,1
285,C01087,1
286,C00394,1
287,C00583,1
288,C02080,1
289,C01980,0
290,C00500,1
291,C02014,0
292,C02223,1
293,C02979,1
294,C02740,1
295,C02318,0
296,C01259,1
297,C01742,1
298,C00205,1
299,C00733,0
