customer_id,signup_date,true_lifetime_days,termination_date,rfm_recency_all_time,rfm_frequency_all_time,rfm_monetary_all_time,tenure_all_time,rfm_recency_30d,rfm_frequency_30d,rfm_monetary_30d,tenure_30d,rfm_recency_60d,rfm_frequency_60d,rfm_monetary_60d,tenure_60d,rfm_recency_90d,rfm_frequency_90d,rfm_monetary_90d,tenure_90d,slope_amount,slope_days_since_previous_transaction,slope_days_until_next_transaction,slope_customer_transaction_order,slope_days_since_first_transaction,min_amount,mean_amount,mode_amount,max_amount,q1_amount,q5_amount,q10_amount,q20_amount,q30_amount,q40_amount,q50_amount,q60_amount,q70_amount,q80_amount,q90_amount,q95_amount,q99_amount,min_days_since_previous_transaction,mean_days_since_previous_transaction,mode_days_since_previous_transaction,max_days_since_previous_transaction,q1_days_since_previous_transaction,q5_days_since_previous_transaction,q10_days_since_previous_transaction,q20_days_since_previous_transaction,q30_days_since_previous_transaction,q40_days_since_previous_transaction,q50_days_since_previous_transaction,q60_days_since_previous_transaction,q70_days_since_previous_transaction,q80_days_since_previous_transaction,q90_days_since_previous_transaction,q95_days_since_previous_transaction,q99_days_since_previous_transaction,min_days_until_next_transaction,mean_days_until_next_transaction,mode_days_until_next_transaction,max_days_until_next_transaction,q1_days_until_next_transaction,q5_days_until_next_transaction,q10_days_until_next_transaction,q20_days_until_next_transaction,q30_days_until_next_transaction,q40_days_until_next_transaction,q50_days_until_next_transaction,q60_days_until_next_transaction,q70_days_until_next_transaction,q80_days_until_next_transaction,q90_days_until_next_transaction,q95_days_until_next_transaction,q99_days_until_next_transaction,min_customer_transaction_order,mean_customer_transaction_order,mode_customer_transaction_order,max_customer_transaction_order,q1_customer_transaction_order,q5_customer_transaction_order,q10_customer_transaction_order,q20_customer_transaction_order,q30_customer_transaction_order,q40_customer_transaction_order,q50_customer_transaction_order,q60_customer_transaction_order,q70_customer_transaction_order,q80_customer_transaction_order,q90_customer_transaction_order,q95_customer_transaction_order,q99_customer_transaction_order,min_days_since_first_transaction,mean_days_since_first_transaction,mode_days_since_first_transaction,max_days_since_first_transaction,q1_days_since_first_transaction,q5_days_since_first_transaction,q10_days_since_first_transaction,q20_days_since_first_transaction,q30_days_since_first_transaction,q40_days_since_first_transaction,q50_days_since_first_transaction,q60_days_since_first_transaction,q70_days_since_first_transaction,q80_days_since_first_transaction,q90_days_since_first_transaction,q95_days_since_first_transaction,q99_days_since_first_transaction
C02761,2025-08-16,365,2026-08-16,8.0,2.0,72.69,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00123,2025-10-01,111,2026-01-20,0.0,1.0,78.23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01808,2025-11-23,147,2026-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02286,2025-06-05,83,2025-08-27,47.0,11.0,1263.07,64.0,47.0,11.0,1263.07,64.0,66.0,10.0,1256.2,45.0,92.0,3.0,359.03999999999996,19.0,68.87,-16.999999999999986,-4.499999999999998,1.0000000000000002,9.500000000000002,9.13,119.67999999999999,9.13,203.04,11.884800000000002,22.904000000000003,36.678000000000004,64.226,91.774,119.322,146.87,158.10399999999998,169.338,180.572,191.80599999999998,197.423,201.9166,1.0,9.5,1.0,18.0,1.17,1.85,2.7,4.4,6.1,7.800000000000001,9.5,11.2,12.899999999999999,14.600000000000001,16.3,17.15,17.83,1.0,9.333333333333334,1.0,18.0,1.16,1.8,2.6,4.2,5.8,7.4,9.0,10.799999999999999,12.6,14.4,16.2,17.099999999999998,17.82,0.0,1.0,0.0,2.0,0.02,0.1,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,1.9,1.98,0.0,12.333333333333334,0.0,19.0,0.36,1.8,3.6,7.2,10.8,14.4,18.0,18.2,18.4,18.6,18.8,18.9,18.98
C02147,2025-02-18,115,2025-06-13,114.0,23.0,2112.23,106.0,114.0,23.0,2112.23,106.0,114.0,23.0,2112.23,106.0,114.0,23.0,2112.23,106.0,-2.6310968379446638,0.22134387351778678,0.22134387351778664,1.0000000000000002,5.07707509881423,17.35,91.83608695652173,17.35,287.59,17.477600000000002,19.091,30.002,36.95,41.684,56.52200000000001,88.77,100.182,115.53999999999998,133.75,158.256,206.25699999999992,270.77540000000005,0.0,4.818181818181818,5.0,14.0,0.0,0.050000000000000044,1.0,1.2000000000000002,3.0,3.4000000000000004,5.0,5.0,5.0,7.0,9.0,11.849999999999998,13.579999999999998,0.0,4.818181818181818,5.0,14.0,0.0,0.050000000000000044,1.0,1.2000000000000002,3.0,3.4000000000000004,5.0,5.0,5.0,7.0,9.0,11.849999999999998,13.579999999999998,0.0,11.0,0.0,22.0,0.22,1.1,2.2,4.4,6.6,8.8,11.0,13.2,15.399999999999999,17.6,19.8,20.9,21.78,0.0,44.47826086956522,0.0,106.0,0.0,0.10000000000000009,1.6000000000000005,11.0,17.199999999999996,28.000000000000004,42.0,56.599999999999994,67.6,77.0,88.0,101.59999999999998,105.34
C00618,2025-12-02,189,2026-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00406,2025-04-08,30,2025-05-08,173.0,1.0,14.99,0.0,173.0,1.0,14.99,0.0,173.0,1.0,14.99,0.0,173.0,1.0,14.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01157,2025-10-13,30,2025-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01068,2025-12-02,123,2026-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01133,2025-01-18,249,2025-09-24,27.0,11.0,3340.29,216.0,77.0,10.0,3291.01,166.0,77.0,10.0,3291.01,166.0,132.0,9.0,2548.89,111.0,-20.677499999999977,-1.821428571428572,1.4666666666666663,0.9999999999999998,14.383333333333331,61.07,283.21000000000004,61.07,620.13,61.3564,62.502,63.934000000000005,110.30400000000002,140.972,160.85000000000002,238.97,328.90599999999995,402.29999999999995,459.49600000000004,519.53,569.8299999999999,610.0699999999999,5.0,13.875,6.0,34.0,5.07,5.35,5.7,6.0,6.300000000000001,8.4,10.5,12.4,13.799999999999999,20.600000000000005,27.7,30.849999999999994,33.37,5.0,18.444444444444443,6.0,55.0,5.08,5.4,5.8,6.0,7.199999999999999,9.600000000000001,12.0,13.6,20.599999999999994,28.6,38.2,46.599999999999994,53.32,0.0,4.0,0.0,8.0,0.08,0.4,0.8,1.6,2.4,3.2,4.0,4.8,5.6,6.4,7.2,7.6,7.92,0.0,64.0,0.0,111.0,0.72,3.6,7.2,24.0,47.599999999999994,69.0,73.0,82.6,88.6,96.60000000000001,106.2,108.6,110.52
C02905,2025-03-23,73,2025-06-04,123.0,27.0,4754.23,62.0,123.0,27.0,4754.23,62.0,123.0,27.0,4754.23,62.0,123.0,27.0,4754.23,62.0,0.6198168498168526,0.04102564102564101,0.04102564102564101,1.0000000000000004,2.414529914529915,17.88,176.0825925925926,17.88,412.01,17.906,18.403000000000002,47.662000000000006,92.242,127.426,137.742,148.99,168.14,230.41199999999998,250.39,319.9020000000002,393.43899999999996,407.56139999999994,0.0,2.3846153846153846,1.0,7.0,0.0,0.25,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.5,6.0,6.75,0.0,2.3846153846153846,1.0,7.0,0.0,0.25,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.5,6.0,6.75,0.0,13.0,0.0,26.0,0.26,1.3,2.6,5.2,7.8,10.4,13.0,15.6,18.2,20.8,23.400000000000002,24.7,25.74,0.0,28.77777777777778,9.0,62.0,1.04,4.3,6.2,9.600000000000001,15.0,19.8,23.0,34.599999999999994,40.0,51.8,55.400000000000006,56.7,60.69999999999999
C00497,2025-10-28,77,2026-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
