customer_id,rfm_recency_all_time,rfm_frequency_all_time,rfm_monetary_all_time,tenure_all_time,rfm_recency_30d,rfm_frequency_30d,rfm_monetary_30d,tenure_30d,rfm_recency_60d,rfm_frequency_60d,rfm_monetary_60d,tenure_60d,rfm_recency_90d,rfm_frequency_90d,rfm_monetary_90d,tenure_90d,slope_amount,slope_days_since_previous_transaction,slope_days_until_next_transaction,slope_customer_transaction_order,slope_days_since_first_transaction,min_amount,mean_amount,mode_amount,max_amount,q1_amount,q5_amount,q10_amount,q20_amount,q30_amount,q40_amount,q50_amount,q60_amount,q70_amount,q80_amount,q90_amount,q95_amount,q99_amount,min_days_since_previous_transaction,mean_days_since_previous_transaction,mode_days_since_previous_transaction,max_days_since_previous_transaction,q1_days_since_previous_transaction,q5_days_since_previous_transaction,q10_days_since_previous_transaction,q20_days_since_previous_transaction,q30_days_since_previous_transaction,q40_days_since_previous_transaction,q50_days_since_previous_transaction,q60_days_since_previous_transaction,q70_days_since_previous_transaction,q80_days_since_previous_transaction,q90_days_since_previous_transaction,q95_days_since_previous_transaction,q99_days_since_previous_transaction,min_days_until_next_transaction,mean_days_until_next_transaction,mode_days_until_next_transaction,max_days_until_next_transaction,q1_days_until_next_transaction,q5_days_until_next_transaction,q10_days_until_next_transaction,q20_days_until_next_transaction,q30_days_until_next_transaction,q40_days_until_next_transaction,q50_days_until_next_transaction,q60_days_until_next_transaction,q70_days_until_next_transaction,q80_days_until_next_transaction,q90_days_until_next_transaction,q95_days_until_next_transaction,q99_days_until_next_transaction,min_customer_transaction_order,mean_customer_transaction_order,mode_customer_transaction_order,max_customer_transaction_order,q1_customer_transaction_order,q5_customer_transaction_order,q10_customer_transaction_order,q20_customer_transaction_order,q30_customer_transaction_order,q40_customer_transaction_order,q50_customer_transaction_order,q60_customer_transaction_order,q70_customer_transaction_order,q80_customer_transaction_order,q90_customer_transaction_order,q95_customer_transaction_order,q99_customer_transaction_order,min_days_since_first_transaction,mean_days_since_first_transaction,mode_days_since_first_transaction,max_days_since_first_transaction,q1_days_since_first_transaction,q5_days_since_first_transaction,q10_days_since_first_transaction,q20_days_since_first_transaction,q30_days_since_first_transaction,q40_days_since_first_transaction,q50_days_since_first_transaction,q60_days_since_first_transaction,q70_days_since_first_transaction,q80_days_since_first_transaction,q90_days_since_first_transaction,q95_days_since_first_transaction,q99_days_since_first_transaction,E,T,period_total_amount,period_transaction_count,period_tenure_days,is_churn_30_days
C00000,4.0,8.0,1001.05,78.0,34.0,6.0,714.51,48.0,61.0,3.0,379.9,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,131,1001.05,8,78,0
C00001,4.0,16.0,975.54,255.0,55.0,14.0,758.9300000000001,204.0,81.0,11.0,620.79,178.0,121.0,10.0,585.34,138.0,7.664848484848482,-3.3833333333333346,-1.115151515151516,1.0,13.96969696969697,11.52,58.534000000000006,11.52,190.5,12.5793,16.816499999999998,22.113,30.409999999999997,36.452999999999996,41.406,43.735,51.28799999999999,63.408,67.634,85.40699999999997,137.95349999999988,179.9907,0.0,15.333333333333334,20.0,37.0,0.16,0.8,1.6,4.4,6.4,9.000000000000002,17.0,19.4,20.0,23.6,30.6,33.8,36.36,0.0,17.8,20.0,40.0,0.18,0.9,1.8,5.2,6.699999999999999,13.0,18.5,20.0,22.7,30.6,37.3,38.65,39.730000000000004,0.0,4.5,0.0,9.0,0.09,0.45,0.9,1.8,2.6999999999999997,3.6,4.5,5.3999999999999995,6.3,7.2,8.1,8.549999999999999,8.91,0.0,89.3,119.0,138.0,3.33,16.650000000000002,33.3,60.2,80.0,90.2,96.0,106.99999999999999,119.0,122.4,136.2,137.1,137.82,0,299,975.54,16,255,0
C00002,66.0,11.0,910.64,37.0,66.0,11.0,910.64,37.0,66.0,11.0,910.64,37.0,92.0,6.0,620.8,11.0,-0.643428571428571,0.3000000000000001,0.42857142857142855,0.9999999999999998,2.114285714285714,32.04,103.46666666666668,32.04,172.52,33.362,38.65,45.26,58.48,70.62,82.76,108.315,133.87,137.5,141.13,156.825,164.6725,170.9505,1.0,2.2,2.0,3.0,1.04,1.2,1.4,1.8,2.0,2.0,2.0,2.4,2.8,3.0,3.0,3.0,3.0,1.0,2.5,2.0,4.0,1.05,1.25,1.5,2.0,2.0,2.0,2.5,3.0,3.0,3.0,3.5,3.75,3.95,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,5.0,0.0,11.0,0.1,0.5,1.0,2.0,3.0,4.0,4.5,5.0,6.5,8.0,9.5,10.25,10.850000000000001,1,48,910.64,11,37,1
C00003,13.0,4.0,114.71000000000001,45.0,57.0,2.0,79.68,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,84,114.71000000000001,4,45,0
C00004,78.0,19.0,2018.94,98.0,78.0,19.0,2018.94,98.0,78.0,19.0,2018.94,98.0,107.0,17.0,1866.8,69.0,0.02137254901960915,0.010294117647058778,0.2769607843137255,0.9999999999999998,4.512254901960783,17.85,109.81176470588237,17.85,282.98,17.8948,18.073999999999998,25.516000000000002,34.572,58.15599999999999,67.492,78.44,126.51199999999999,150.84,165.62400000000002,214.93200000000002,278.404,282.0648,0.0,4.3125,5.0,9.0,0.15,0.75,1.0,2.0,3.0,4.0,4.5,5.0,5.5,7.0,7.0,7.5,8.7,0.0,5.117647058823529,5.0,18.0,0.16,0.8,1.0,2.2,3.0,4.0,5.0,5.0,6.199999999999999,7.0,7.800000000000001,10.799999999999994,16.56,0.0,8.0,0.0,16.0,0.16,0.8,1.6,3.2,4.8,6.4,8.0,9.6,11.2,12.8,14.4,15.2,15.84,0.0,34.294117647058826,60.0,69.0,0.16,0.8,4.0,10.0,19.599999999999998,28.8,34.0,43.199999999999996,52.599999999999994,58.2,60.0,61.8,67.56,1,113,2018.94,19,98,1
C00005,1.0,3.0,105.99,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,105.99,3,17,0
C00006,6.0,3.0,85.95,82.0,54.0,2.0,58.36,34.0,88.0,1.0,20.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,117,85.95,3,82,0
C00007,62.0,5.0,584.63,50.0,62.0,5.0,584.63,50.0,62.0,5.0,584.63,50.0,100.0,2.0,333.4,12.0,-125.13999999999999,,-0.9999999999999997,0.9999999999999998,11.999999999999998,104.13,166.7,104.13,229.27,105.3814,110.387,116.644,129.15800000000002,141.672,154.186,166.7,179.214,191.728,204.24200000000002,216.756,223.013,228.01860000000002,,,,,,,,,,,,,,,,,,11.0,11.5,11.0,12.0,11.01,11.05,11.1,11.2,11.3,11.4,11.5,11.6,11.7,11.8,11.9,11.95,11.99,0.0,0.5,0.0,1.0,0.01,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.95,0.99,0.0,6.0,0.0,12.0,0.12,0.6000000000000001,1.2000000000000002,2.4000000000000004,3.5999999999999996,4.800000000000001,6.0,7.199999999999999,8.399999999999999,9.600000000000001,10.8,11.399999999999999,11.879999999999999,0,150,584.63,5,50,0
C00008,31.0,14.0,768.1600000000001,176.0,31.0,14.0,768.1600000000001,176.0,60.0,10.0,496.76000000000005,147.0,96.0,6.0,362.06,111.0,-9.187428571428562,-5.4999999999999964,-5.171428571428571,0.9999999999999998,17.599999999999998,27.05,60.343333333333334,27.05,95.93,27.837,30.985,34.92,42.79,48.69,54.59,61.800000000000004,69.01,70.85,72.69,84.31,90.12,94.76800000000001,1.0,22.2,1.0,61.0,1.2,2.0,3.0,5.0,7.3999999999999995,10.200000000000001,13.0,19.799999999999997,26.599999999999998,36.2,48.6,54.8,59.76,1.0,19.833333333333332,1.0,61.0,1.25,2.25,3.5,6.0,7.0,8.0,10.5,13.0,21.5,30.0,45.5,53.25,59.45,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,64.66666666666667,0.0,111.0,3.0500000000000003,15.25,30.5,61.0,64.0,67.0,67.5,68.0,74.5,81.0,96.0,103.5,109.5,1,209,768.1600000000001,14,176,1
C00009,165.0,18.0,1697.28,163.0,165.0,18.0,1697.28,163.0,165.0,18.0,1697.28,163.0,165.0,18.0,1697.28,163.0,-1.2727347781217726,0.5465686274509804,0.5465686274509803,0.9999999999999998,9.673890608875128,13.08,94.29333333333332,13.08,195.41,17.534,35.35,39.7,44.918000000000006,53.441,58.112,75.155,90.32199999999997,125.44099999999999,150.296,185.757,191.8995,194.7079,1.0,9.588235294117647,2.0,33.0,1.0,1.0,1.6,2.0,2.0,3.4000000000000004,5.0,6.799999999999999,11.599999999999994,18.0,23.800000000000004,28.999999999999996,32.2,1.0,9.588235294117647,2.0,33.0,1.0,1.0,1.6,2.0,2.0,3.4000000000000004,5.0,6.799999999999999,11.599999999999994,18.0,23.800000000000004,28.999999999999996,32.2,0.0,8.5,0.0,17.0,0.17,0.8500000000000001,1.7000000000000002,3.4000000000000004,5.1,6.800000000000001,8.5,10.2,11.899999999999999,13.600000000000001,15.3,16.15,16.83,0.0,69.11111111111111,0.0,163.0,0.17,0.8500000000000001,13.600000000000003,27.8,31.299999999999997,34.8,54.0,76.4,107.69999999999996,122.00000000000001,139.40000000000003,159.6,162.32,1,172,1697.28,18,163,1
