customer_id,rfm_recency_all_time,rfm_frequency_all_time,rfm_monetary_all_time,tenure_all_time,rfm_recency_30d,rfm_frequency_30d,rfm_monetary_30d,tenure_30d,rfm_recency_60d,rfm_frequency_60d,rfm_monetary_60d,tenure_60d,rfm_recency_90d,rfm_frequency_90d,rfm_monetary_90d,tenure_90d,slope_amount,slope_days_since_previous_transaction,slope_days_until_next_transaction,slope_customer_transaction_order,slope_days_since_first_transaction,min_amount,mean_amount,mode_amount,max_amount,q1_amount,q5_amount,q10_amount,q20_amount,q30_amount,q40_amount,q50_amount,q60_amount,q70_amount,q80_amount,q90_amount,q95_amount,q99_amount,min_days_since_previous_transaction,mean_days_since_previous_transaction,mode_days_since_previous_transaction,max_days_since_previous_transaction,q1_days_since_previous_transaction,q5_days_since_previous_transaction,q10_days_since_previous_transaction,q20_days_since_previous_transaction,q30_days_since_previous_transaction,q40_days_since_previous_transaction,q50_days_since_previous_transaction,q60_days_since_previous_transaction,q70_days_since_previous_transaction,q80_days_since_previous_transaction,q90_days_since_previous_transaction,q95_days_since_previous_transaction,q99_days_since_previous_transaction,min_days_until_next_transaction,mean_days_until_next_transaction,mode_days_until_next_transaction,max_days_until_next_transaction,q1_days_until_next_transaction,q5_days_until_next_transaction,q10_days_until_next_transaction,q20_days_until_next_transaction,q30_days_until_next_transaction,q40_days_until_next_transaction,q50_days_until_next_transaction,q60_days_until_next_transaction,q70_days_until_next_transaction,q80_days_until_next_transaction,q90_days_until_next_transaction,q95_days_until_next_transaction,q99_days_until_next_transaction,min_customer_transaction_order,mean_customer_transaction_order,mode_customer_transaction_order,max_customer_transaction_order,q1_customer_transaction_order,q5_customer_transaction_order,q10_customer_transaction_order,q20_customer_transaction_order,q30_customer_transaction_order,q40_customer_transaction_order,q50_customer_transaction_order,q60_customer_transaction_order,q70_customer_transaction_order,q80_customer_transaction_order,q90_customer_transaction_order,q95_customer_transaction_order,q99_customer_transaction_order,min_days_since_first_transaction,mean_days_since_first_transaction,mode_days_since_first_transaction,max_days_since_first_transaction,q1_days_since_first_transaction,q5_days_since_first_transaction,q10_days_since_first_transaction,q20_days_since_first_transaction,q30_days_since_first_transaction,q40_days_since_first_transaction,q50_days_since_first_transaction,q60_days_since_first_transaction,q70_days_since_first_transaction,q80_days_since_first_transaction,q90_days_since_first_transaction,q95_days_since_first_transaction,q99_days_since_first_transaction
C01552,78,19,954.82,98,78.0,19.0,954.82,98.0,78.0,19.0,954.82,98.0,90.0,17.0,869.02,86.0,-0.1573039215686253,0.0029411764705881,0.1127450980392156,0.9999999999999998,5.267156862745097,10.51,51.11882352941176,10.51,135.23,11.2572,14.246,20.418,27.244000000000003,31.348,34.092,42.14,47.966,64.11399999999999,73.498,90.296,105.42199999999995,129.2684,0.0,5.375,3.0,12.0,0.15,0.75,1.0,2.0,2.5,3.0,3.5,5.0,8.5,10.0,11.5,12.0,12.0,0.0,5.705882352941177,3.0,12.0,0.16,0.8,1.0,2.0,2.8,3.0,4.0,6.199999999999999,10.0,10.8,11.4,12.0,12.0,0.0,8.0,0.0,16.0,0.16,0.8,1.6,3.2,4.8,6.4,8.0,9.6,11.2,12.8,14.4,15.2,15.84,0.0,42.94117647058823,73.0,86.0,1.76,8.8,11.6,14.6,21.0,35.2,44.0,55.2,60.6,71.0,73.4,76.39999999999999,84.08
C02842,66,6,76.32,72,66.0,6.0,76.32,72.0,66.0,6.0,76.32,72.0,100.0,4.0,62.67999999999999,38.0,-0.2720000000000019,0.4999999999999999,3.0000000000000004,1.0,14.1,1.63,15.67,1.63,34.04,1.8106,2.5330000000000004,3.4360000000000004,5.242000000000001,7.048,9.992000000000004,13.505,17.017999999999997,20.828,25.232000000000006,29.636000000000003,31.837999999999997,33.599599999999995,5.0,12.666666666666666,5.0,27.0,5.02,5.1,5.2,5.4,5.6,5.8,6.0,10.2,14.4,18.6,22.8,24.9,26.58,5.0,15.0,5.0,27.0,5.03,5.15,5.3,5.6,5.9,9.200000000000005,14.0,18.8,22.5,24.0,25.5,26.25,26.85,0.0,1.5,0.0,3.0,0.03,0.15,0.3,0.6000000000000001,0.8999999999999999,1.2000000000000002,1.5,1.7999999999999998,2.1,2.4000000000000004,2.7,2.85,2.97,0.0,18.75,0.0,38.0,0.15,0.7500000000000001,1.5000000000000002,3.0000000000000004,4.5,10.400000000000006,18.5,26.599999999999994,32.599999999999994,34.400000000000006,36.2,37.1,37.82
C01642,1,1,29.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00191,110,1,49.75,0,110.0,1.0,49.75,0.0,110.0,1.0,49.75,0.0,110.0,1.0,49.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02329,19,10,990.12,198,59.0,9.0,916.03,158.0,73.0,8.0,822.0699999999999,144.0,95.0,6.0,461.8,122.0,10.503999999999994,-14.7,-9.314285714285711,0.9999999999999998,22.371428571428563,16.92,76.96666666666665,16.92,144.89,19.629,30.465,44.01,71.1,72.705,74.31,75.745,77.18,77.29,77.4,111.145,128.01749999999998,141.5155,1.0,24.4,1.0,75.0,1.16,1.8,2.6,4.2,5.2,5.6,6.0,17.599999999999998,29.2,43.00000000000001,59.0,67.0,73.4,1.0,23.33333333333333,1.0,75.0,1.2,2.0,3.0,5.0,5.5,6.0,12.0,18.0,26.5,35.0,55.0,65.0,73.0,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,85.5,0.0,122.0,3.75,18.75,37.5,75.0,77.5,80.0,97.5,115.0,118.0,121.0,121.5,121.75,121.95
C00002,6,11,910.64,37,32.0,6.0,620.8,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02208,4,5,467.65,36,40.0,1.0,112.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00749,14,14,255.31,136,33.0,10.0,186.66,117.0,62.0,9.0,157.61,88.0,104.0,6.0,131.91,46.0,5.849999999999998,-0.4000000000000008,1.4571428571428569,0.9999999999999998,9.94285714285714,4.2,21.985,4.2,41.71,4.6225000000000005,6.3125,8.425,12.65,15.43,18.21,22.58,26.95,27.57,28.19,34.95,38.33,41.034000000000006,2.0,9.2,7.0,22.0,2.2,3.0,4.0,6.0,7.0,7.0,7.0,7.4,7.8,10.800000000000002,16.400000000000002,19.2,21.44,2.0,11.166666666666666,7.0,22.0,2.25,3.25,4.5,7.0,7.0,7.0,7.5,8.0,14.5,21.0,21.5,21.75,21.95,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,23.666666666666668,0.0,46.0,0.1,0.5,1.0,2.0,13.0,24.0,27.5,31.0,35.0,39.0,42.5,44.25,45.65
C01922,12,9,1611.12,56,30.0,7.0,1439.84,38.0,68.0,1.0,169.82,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00444,3,20,1164.67,223,37.0,19.0,1115.75,189.0,92.0,17.0,975.89,134.0,92.0,17.0,975.89,134.0,-1.0211764705882351,-0.1441176470588238,0.6176470588235294,0.9999999999999998,8.142156862745097,3.91,57.40529411764705,3.91,126.15,4.15,5.11,9.31,18.752,36.44,47.96,50.48,62.926,86.068,94.804,103.296,108.31799999999998,122.5836,0.0,8.375,4.0,26.0,0.15,0.75,1.5,4.0,4.0,6.0,7.5,9.0,10.5,11.0,15.5,18.5,24.5,0.0,10.588235294117649,4.0,46.0,0.16,0.8,1.6,4.0,4.0,6.4,8.0,9.6,11.0,14.200000000000005,20.000000000000004,29.999999999999982,42.8,0.0,8.0,0.0,16.0,0.16,0.8,1.6,3.2,4.8,6.4,8.0,9.6,11.2,12.8,14.4,15.2,15.84,0.0,69.88235294117646,86.0,134.0,0.64,3.2,4.6,33.2,49.2,65.2,86.0,87.2,93.2,103.6,116.6,122.0,131.6
C01302,133,6,469.39,14,133.0,6.0,469.39,14.0,133.0,6.0,469.39,14.0,133.0,6.0,469.39,14.0,-16.137428571428575,-0.0999999999999998,-0.1000000000000001,0.9999999999999998,2.8285714285714283,14.73,78.23166666666667,14.73,269.98,15.0435,16.2975,17.865000000000002,21.0,22.93,24.86,40.53,56.2,69.41,82.62,176.3,223.14,260.6120000000001,0.0,2.8,0.0,5.0,0.08,0.4,0.8,1.6,2.2,2.6,3.0,3.4,3.8,4.2,4.6,4.8,4.96,0.0,2.8,0.0,5.0,0.08,0.4,0.8,1.6,2.2,2.6,3.0,3.4,3.8,4.2,4.6,4.8,4.96,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,7.166666666666667,4.0,14.0,0.2,1.0,2.0,4.0,4.0,4.0,6.5,9.0,10.5,12.0,13.0,13.5,13.9
